#SUBMITTED ID	SYMBOL
FBgn0051872	CG31872
FBgn0029915	CG14434
FBgn0013720	pck
FBgn0035271	CG2021
FBgn0035725	Mis12
FBgn0044011	Spn43Ad
FBgn0050446	Tdc2
FBgn0033121	Cyp6u1
FBgn0030863	CG8188
FBgn0042102	CG18745
FBgn0050069	Sdb
FBgn0032230	lft
FBgn0024921	Tnpo
FBgn0028394	CG17834
FBgn0037445	CG9727
FBgn0029778	RhoGAP5A
FBgn0083981	RunxA
FBgn0031030	Tao
FBgn0004863	C15
FBgn0261954	east
FBgn0036751	Adgf-B
FBgn0036089	CG14151
FBgn0039748	CG15529
FBgn0250746	Prosbeta7
FBgn0261849	CG42781
FBgn0032626	CG12620
FBgn0051313	CG31313
FBgn0032088	CG13102
FBgn0261611	CG42700
FBgn0000084	AnxB10
FBgn0037746	CG8478
FBgn0027492	wdb
FBgn0030403	CG1824
FBgn0264503	CG43902
FBgn0038577	CG12321
FBgn0025832	Fen1
FBgn0037934	CG6830
FBgn0032900	CG14401
FBgn0000576	ems
FBgn0005278	Sam-S
FBgn0265597	rad
FBgn0026148	CG12253
FBgn0010877	l(3)05822
FBgn0032473	kmg
FBgn0037217	CG14636
FBgn0085414	dpr12
FBgn0030215	CG15296
FBgn0013435	Cdc2rk
FBgn0051296	CG31296
FBgn0086655	jing
FBgn0000644	Fcp3C
FBgn0020767	Spred
FBgn0031117	GstT3
FBgn0037715	CG9399
FBgn0266917	Sf3a1
FBgn0086758	chinmo
FBgn0065032	Arpc3B
FBgn0035833	CG7565
FBgn0052459	CG32459
FBgn0031959	spz3
FBgn0033464	CG1441
FBgn0036476	sstn
FBgn0032967	CG1428
FBgn0029851	CG14445
FBgn0031747	CG9021
FBgn0033929	Tfb1
FBgn0052600	dpr8
FBgn0041100	park
FBgn0034523	Nnf1a
FBgn0003129	Poxm
FBgn0003255	rk
FBgn0010288	Uch
FBgn0028468	rtet
FBgn0259212	cno
FBgn0037802	Sirt6
FBgn0285896	btl
FBgn0260482	CG32599
FBgn0265598	Bx
FBgn0035260	CG7991
FBgn0029907	Atx-1
FBgn0003317	sax
FBgn0052647	CG32647
FBgn0264305	CG43783
FBgn0024975	CG2712
FBgn0050443	Opbp
FBgn0033810	CG4646
FBgn0036116	CG7888
FBgn0053499	Sdic4
FBgn0026371	SAK
FBgn0033980	Cyp6a20
FBgn0283476	Dhc16F
FBgn0024244	drm
FBgn0020370	TppII
FBgn0286075	DNAlig3
FBgn0031239	CG17075
FBgn0035762	Rint1
FBgn0035142	Hipk
FBgn0050100	CG30100
FBgn0259718	CG42372
FBgn0038524	sll
FBgn0004913	Gnf1
FBgn0052574	Twdlalpha
FBgn0037550	CG9667
FBgn0031301	CG14339
FBgn0039167	CG17786
FBgn0032684	Ugt301D1
FBgn0000927	fs(1)Ya
FBgn0035293	CG5687
FBgn0032391	escl
FBgn0035791	CG8539
FBgn0030257	SmydA-4
FBgn0020633	Mcm7
FBgn0032816	Nf-YB
FBgn0003545	sub
FBgn0029729	CG12682
FBgn0036627	Gagr
FBgn0036066	CG14160
FBgn0264694	mgr
FBgn0261532	cdm
FBgn0034160	CG5550
FBgn0035090	CG2736
FBgn0031879	uif
FBgn0037263	slx1
FBgn0033945	CG12868
FBgn0000928	fs(1)Yb
FBgn0037284	CG14659
FBgn0037207	Mes2
FBgn0034214	CG6550
FBgn0050338	CG30338
FBgn0026309	aft
FBgn0039622	eIF4E6
FBgn0036911	Fibp
FBgn0263601	mib1
FBgn0266534	CG45095
FBgn0010651	MFS14
FBgn0039161	CG13606
FBgn0003462	Sod1
FBgn0033440	CG10459
FBgn0034186	CG8950
FBgn0005648	Pabp2
FBgn0051453	pch2
FBgn0051121	CG31121
FBgn0014870	Psi
FBgn0010406	RNaseX25
FBgn0028645	beat-Ib
FBgn0025624	CG4025
FBgn0010383	Cyp18a1
FBgn0050381	PIG-X
FBgn0050502	fa2h
FBgn0050375	CG30375
FBgn0036557	mRpS31
FBgn0037853	CG14696
FBgn0264574	Glut1
FBgn0086908	egg
FBgn0032166	CG4619
FBgn0031711	CG6907
FBgn0265192	Snp
FBgn0036856	Mettl5
FBgn0259720	CG42374
FBgn0265298	SC35
FBgn0036926	CG7646
FBgn0263241	Mocs1
FBgn0025628	CG4199
FBgn0052602	Muc12Ea
FBgn0033921	tej
FBgn0033588	CG13228
FBgn0038201	PK1-R
FBgn0024909	Taf7
FBgn0032072	CG9483
FBgn0034651	CG15676
FBgn0011217	eff
FBgn0033903	CG8323
FBgn0030141	Gga
FBgn0038673	CG14286
FBgn0037809	CG12818
FBgn0036994	CG5199
FBgn0020443	eRF3
FBgn0261842	pre-mod(mdg4)-AE
FBgn0262870	axo
FBgn0013725	phyl
FBgn0030745	CG4239
FBgn0025463	Bap60
FBgn0052333	CG32333
FBgn0261445	sgl
FBgn0029147	NtR
FBgn0085424	nub
FBgn0029965	Ir7b
FBgn0035428	CG14960
FBgn0030768	Nemp
FBgn0034505	CG16739
FBgn0000357	Cp18
FBgn0264953	Piezo
FBgn0000566	Cth
FBgn0040322	GNBP2
FBgn0038765	CG4424
FBgn0003889	betaTub85D
FBgn0038465	Irc
FBgn0037156	CG11523
FBgn0026176	SkpB
FBgn0040066	wds
FBgn0032506	CG9395
FBgn0039774	CDase
FBgn0027529	tapas
FBgn0261444	CG3638
FBgn0023179	amon
FBgn0031309	Tfb4
FBgn0031703	Acsf2
FBgn0086898	dgo
FBgn0031860	Daao2
FBgn0037835	CG14687
FBgn0051161	CG31161
FBgn0004839	otk
FBgn0038325	Atg4b
FBgn0037727	Nepl12
FBgn0023479	teq
FBgn0031101	CG1631
FBgn0019929	Ser7
FBgn0030290	CG11756
FBgn0033543	Daao1
FBgn0040532	CG8369
FBgn0038491	CG5292
FBgn0034528	CG11180
FBgn0051321	CG31321
FBgn0013759	CASK
FBgn0038049	Srlp
FBgn0030704	CG15916
FBgn0039827	CG1544
FBgn0259896	NimC1
FBgn0261999	Ca-Ma2d
FBgn0032813	PCNA2
FBgn0027057	CSN1b
FBgn0052183	Ccn
FBgn0052557	Mco4
FBgn0036552	CG17028
FBgn0283472	S6k
FBgn0040575	CG15922
FBgn0086355	Tpi
FBgn0025692	Lfg
FBgn0033523	CG12895
FBgn0266433	CG45063
FBgn0263986	cd
FBgn0011286	RyR
FBgn0028484	Ack
FBgn0053307	CG33307
FBgn0032016	Mettl14
FBgn0031835	Dpp10
FBgn0036443	CG13471
FBgn0034201	CG17290
FBgn0040551	CG11686
FBgn0033170	sPLA2
FBgn0037758	CG9467
FBgn0038056	CG5961
FBgn0040355	CG3526
FBgn0030159	CG9689
FBgn0283657	Tlk
FBgn0027259	Kmn1
FBgn0036821	CG3961
FBgn0011676	Nos
FBgn0033060	CG7849
FBgn0051635	CG31635
FBgn0039128	CG13599
FBgn0037440	CRAT
FBgn0016131	Cdk4
FBgn0263250	CG43393
FBgn0041581	AttB
FBgn0051414	Gba1b
FBgn0029664	CG10802
FBgn0266668	Exo84
FBgn0034232	CG4866
FBgn0040102	lectin-24Db
FBgn0262820	CG43191
FBgn0002577	m
FBgn0259228	C3G
FBgn0037402	Vha14-2
FBgn0037001	ND-39
FBgn0039687	Naa40
FBgn0034974	CG16786
FBgn0051454	CG31454
FBgn0026761	Trap1
FBgn0032639	CG18563
FBgn0267872	CR46160
FBgn0001148	gsb
FBgn0033773	Mos
FBgn0053468	CG33468
FBgn0036053	iPLA2-VIA
FBgn0082585	sprt
FBgn0042696	NfI
FBgn0052846	CG32846
FBgn0037410	Osi2
FBgn0263038	CG43333
FBgn0034109	CG7747
FBgn0022959	yps
FBgn0051700	CR31700
FBgn0263087	CG43355
FBgn0041181	Tep3
FBgn0037849	CG4596
FBgn0027550	CG6495
FBgn0053969	CG33969
FBgn0039140	Miro
FBgn0032250	holn1
FBgn0033192	Corin
FBgn0034510	CG13426
FBgn0029661	CG16781
FBgn0025382	Rab27
FBgn0036848	Naxd
FBgn0036769	Tsp74F
FBgn0038861	Trm7-34
FBgn0040648	CG11666
FBgn0039187	CG6454
FBgn0038167	Lkb1
FBgn0034919	CG5569
FBgn0050196	CG30196
FBgn0015609	CadN
FBgn0003447	sn
FBgn0085464	CG34435
FBgn0041245	Gr39b
FBgn0033186	CG1602
FBgn0016762	angel
FBgn0052432	CG32432
FBgn0050056	CG30056
FBgn0011589	Elk
FBgn0004643	Zw10
FBgn0263873	sick
FBgn0033636	tou
FBgn0010340	140up
FBgn0030699	CG8578
FBgn0261786	mi
FBgn0034484	CG11044
FBgn0265959	rdgC
FBgn0037374	jagn
FBgn0039886	CG2003
FBgn0005640	Eip63E
FBgn0037356	CG12170
FBgn0034598	CG4266
FBgn0052396	betaTub65B
FBgn0027841	CstF64
FBgn0259916	CG42445
FBgn0033697	Cyp6t3
FBgn0033994	CG7544
FBgn0032521	CG7110
FBgn0040524	CG11052
FBgn0033997	Ir51a
FBgn0035780	CG18417
FBgn0050476	ave
FBgn0052547	CG32547
FBgn0262149	CR42875
FBgn0037671	ATP6AP2
FBgn0288888	tx
FBgn0052672	Atg8a
FBgn0034430	mip40
FBgn0259876	Cap-G
FBgn0052187	CG32187
FBgn0030228	BTBD9
FBgn0030691	Efhc1.1
FBgn0032167	CG5853
FBgn0028844	CG15283
FBgn0033899	CG13016
FBgn0263113	Cc2d2a
FBgn0052091	CG32091
FBgn0265084	CG44195
FBgn0025613	CG3081
FBgn0039737	CG7920
FBgn0038126	CG8483
FBgn0011207	pelo
FBgn0052053	CG32053
FBgn0036447	Mgat4b
FBgn0032006	Pvr
FBgn0039656	CG11951
FBgn0037720	CG8312
FBgn0005674	GluProRS
FBgn0015774	NetB
FBgn0250754	CG42232
FBgn0003885	alphaTub84D
FBgn0033072	CG17994
FBgn0039596	CG10000
FBgn0052351	S-Lap2
FBgn0030759	CG13014
FBgn0036403	CG6661
FBgn0038002	CG12256
FBgn0067864	Patj
FBgn0033904	CG18327
FBgn0265574	Cdc5
FBgn0036099	CG11811
FBgn0036872	CG12519
FBgn0032169	CG4709
FBgn0036386	CG8833
FBgn0038099	CG7091
FBgn0036940	obst-J
FBgn0031365	CG17650
FBgn0033356	CG8229
FBgn0023508	Ocrl
FBgn0002715	mei-S332
FBgn0016983	smid
FBgn0033289	CG2121
FBgn0051976	ovm
FBgn0039589	CG9986
FBgn0039588	mIF2
FBgn0034093	CG15706
FBgn0085322	CG34293
FBgn0086365	Orct2
FBgn0029840	raptor
FBgn0039385	CG5913
FBgn0001624	dlg1
FBgn0010097	gammaTub37C
FBgn0020639	Lcp65Af
FBgn0030880	CG6788
FBgn0035678	CG10469
FBgn0051342	CG31342
FBgn0023528	CG2924
FBgn0027793	CG14787
FBgn0033187	PIG-G
FBgn0003308	ry
FBgn0039006	Cyp6d4
FBgn0032076	Argl
FBgn0033261	udd
FBgn0036030	Prps
FBgn0036008	CG3408
FBgn0035134	CG1231
FBgn0037124	CG14568
FBgn0053329	Sp212
FBgn0086690	Plp
FBgn0031118	RhoGAP19D
FBgn0259991	CG42488
FBgn0265623	Su(z)2
FBgn0034423	tbrd-2
FBgn0031735	CG11029
FBgn0052277	CG32277
FBgn0041337	Cyp309a2
FBgn0011224	heph
FBgn0263404	CG43450
FBgn0037856	Leash
FBgn0000283	Cp190
FBgn0032685	CG10211
FBgn0038903	Polr1H
FBgn0037045	CG10584
FBgn0013717	not
FBgn0260959	MCPH1
FBgn0266719	stac
FBgn0032645	CG15142
FBgn0030301	HP5
FBgn0031058	CG14227
FBgn0005659	Ets98B
FBgn0259712	CG42366
FBgn0005632	faf
FBgn0262717	Skeletor
FBgn0029823	Shmt
FBgn0037930	CG14715
FBgn0036668	Zcchc7
FBgn0038180	Cht5
FBgn0039744	Rpp14b
FBgn0052579	CG32579
FBgn0034396	CG15097
FBgn0010223	Galphaf
FBgn0039234	Nct
FBgn0003313	sala
FBgn0051104	CG31104
FBgn0004378	Klp61F
FBgn0050015	CG30015
FBgn0028675	Sur
FBgn0037540	Pbp95
FBgn0039044	p53
FBgn0033274	CG14757
FBgn0266083	ocm
FBgn0261617	nej
FBgn0264086	CG43755
FBgn0024887	kin17
FBgn0267975	vib
FBgn0052639	CG32639
FBgn0031043	Naa20A
FBgn0020312	Tmtc3
FBgn0085410	TrissinR
FBgn0038617	Wdr37
FBgn0261648	salm
FBgn0263846	CG43707
FBgn0051933	CG31933
FBgn0034568	CG3216
FBgn0028375	heix
FBgn0033248	Dic3
FBgn0032338	CG16854
FBgn0032100	CG13108
FBgn0029713	CG11436
FBgn0026718	Agpat2
FBgn0003334	Scm
FBgn0034880	ItgaPS5
FBgn0267002	unc-104
FBgn0260486	Ziz
FBgn0025815	Mcm6
FBgn0003227	rec
FBgn0035057	CG3880
FBgn0005619	Hdc
FBgn0031718	CG14014
FBgn0036035	CG18178
FBgn0045866	bai
FBgn0032703	CG10343
FBgn0004644	hh
FBgn0085399	CG34370
FBgn0032005	Snx6
FBgn0052816	CG32816
FBgn0031968	CG7231
FBgn0035065	CG3589
FBgn0261360	CG42637
FBgn0027500	spd-2
FBgn0038446	CG14903
FBgn0023388	Dap160
FBgn0030805	wus
FBgn0014006	Ask1
FBgn0035035	Samtor
FBgn0031877	Hmgcl
FBgn0053500	CG33500
FBgn0024995	CG2680
FBgn0002524	lace
FBgn0035861	CG7213
FBgn0035410	MnM
FBgn0030581	CG14408
FBgn0031264	uncNacbeta
FBgn0033713	CG8841
FBgn0035468	Gr63a
FBgn0024150	Ac78C
FBgn0035059	CG3894
FBgn0033188	Drat
FBgn0031574	TTLL4B
FBgn0032768	CG17564
FBgn0265002	CG44153
FBgn0062440	EMRE
FBgn0005696	PolA2
FBgn0086367	t
FBgn0052392	Rsph3
FBgn0266801	CG45263
FBgn0024943	PIP82
FBgn0031182	Cyp6t1
FBgn0051777	CG31777
FBgn0284230	CG46314
FBgn0038390	Rbf2
FBgn0033376	CG8777
FBgn0037490	CG10053
FBgn0263930	dally
FBgn0041096	rols
FBgn0030156	CG15247
FBgn0020930	Dgkepsilon
FBgn0000017	Abl
FBgn0037076	ebd2
FBgn0003687	Tbp
FBgn0051475	myd
FBgn0061197	salto
FBgn0033983	Agps
FBgn0011205	fbl
FBgn0036987	CG5274
FBgn0002522	lab
FBgn0000606	eve
FBgn0001965	Sos
FBgn0031652	jet
FBgn0053284	CG33284
FBgn0053155	CG33155
FBgn0033901	O-fut1
FBgn0036398	upSET
FBgn0037000	ZnT77C
FBgn0031651	mRpL24
FBgn0051139	CG31139
FBgn0027597	CG17712
FBgn0038354	CG5404
FBgn0037779	CG12811
FBgn0262847	CR43211
FBgn0262849	CR43213
FBgn0262852	CR43216
FBgn0051715	CG31715
FBgn0037472	CG10098
FBgn0038943	CG5391
FBgn0025469	slv
FBgn0034611	MFS16
FBgn0029878	Pat1
FBgn0036000	CG3434
FBgn0263933	ebi
FBgn0025525	bab2
FBgn0030354	Upf1
FBgn0036292	CG10646
FBgn0030869	Socs16D
FBgn0039937	fd102C
FBgn0000575	emc
FBgn0029690	CG6414
FBgn0085369	Drgx
FBgn0016036	mei-P22
FBgn0085644	CR41423
FBgn0037772	Spn85F
FBgn0001330	kz
FBgn0039016	Dcr-1
FBgn0085438	CG34409
FBgn0034861	CG9815
FBgn0037574	Coq2
FBgn0261862	whd
FBgn0035471	Sc2
FBgn0015239	Hr78
FBgn0014857	His3.3A
FBgn0035873	CG13670
FBgn0040941	CG15308
FBgn0011774	Irbp
FBgn0023000	mth
FBgn0035028	Start1
FBgn0024510	dlt
FBgn0052251	Claspin
FBgn0085346	Rpp14a
FBgn0031895	CG4497
FBgn0003312	sad
FBgn0039431	plum
FBgn0032130	brwl
FBgn0030092	fh
FBgn0039838	CAH6
FBgn0029079	icln
FBgn0267330	KdelR
FBgn0030945	Ing3
FBgn0261698	SLO2
FBgn0263832	Rcd5
FBgn0052095	CG32095
FBgn0262532	CR43086
FBgn0060296	pain
FBgn0032467	Ube4B
FBgn0036889	CG14100
FBgn0041182	Tep2
FBgn0002985	odd
FBgn0033307	CG14752
FBgn0040368	eIF4E7
FBgn0038065	Snx3
FBgn0011020	Sas-4
FBgn0039642	CG11882
FBgn0046687	Tre1
FBgn0045842	yuri
FBgn0030359	CG18130
FBgn0027521	CG3679
FBgn0035152	CG3386
FBgn0037963	Cad87A
FBgn0037778	mtTFB2
FBgn0040279	Osi14
FBgn0004370	Ptp10D
FBgn0030975	SdhBL
FBgn0038917	CG6678
FBgn0030121	Cfp1
FBgn0037880	CG17726
FBgn0038610	CG7675
FBgn0035009	CG16837
FBgn0265767	zyd
FBgn0033778	Balat
FBgn0038772	mdlc
FBgn0032350	CG6287
FBgn0030009	CG15336
FBgn0040344	Lztr1
FBgn0265464	Traf6
FBgn0035379	spz5
FBgn0030871	CG8142
FBgn0085407	Pvf3
FBgn0052831	CG33695
FBgn0263998	Ack-like
FBgn0026433	Grip128
FBgn0036287	CG10663
FBgn0038619	CG7685
FBgn0039560	BOD1
FBgn0067905	Dso2
FBgn0288833	RPA3
FBgn0037315	Cerk
FBgn0039379	CG5886
FBgn0029686	Glos
FBgn0026375	RhoGAPp190
FBgn0031529	CG9662
FBgn0029890	Fum2
FBgn0037071	CG7632
FBgn0035936	Tsp66E
FBgn0287724	Ca-beta
FBgn0004406	PolG1
FBgn0085257	CG34228
FBgn0085789	CR41506
FBgn0013755	Bro
FBgn0038371	Pbp45
FBgn0039338	XNP
FBgn0039025	Usp12-46
FBgn0014037	Su(Tpl)
FBgn0019650	toy
FBgn0037427	Osi17
FBgn0039719	CG15515
FBgn0034717	CG5819
FBgn0034446	Arl6
FBgn0037324	Orco
FBgn0038366	CG4576
FBgn0035094	CG9380
FBgn0264090	CG43759
FBgn0031975	Tg
FBgn0047095	CG33939
FBgn0011725	twin
FBgn0020294	ko
FBgn0035540	Syx17
FBgn0032783	CG10237
FBgn0031640	Mon1
FBgn0031550	IFT57
FBgn0032790	CG10194
FBgn0002931	net
FBgn0003965	v
FBgn0001179	hay
FBgn0028644	beat-Ic
FBgn0284435	tyn
FBgn0265138	Gr22c
FBgn0035103	Vdup1
FBgn0033744	Dh44-R2
FBgn0034460	CG18367
FBgn0031253	CG11885
FBgn0032588	CG5968
FBgn0002926	ndl
FBgn0030973	CG7332
FBgn0034083	lbk
FBgn0031681	Pgant5
FBgn0052638	CG32638
FBgn0040259	Ugt302C1
FBgn0033236	CG14764
FBgn0033095	chk
FBgn0266525	CG45092
FBgn0017414	cag
FBgn0051159	mRRF2
FBgn0032479	CG16974
FBgn0032240	CG17768
FBgn0034408	sano
FBgn0031693	Cyp4ac1
FBgn0037718	P58IPK
FBgn0040352	CG14416
FBgn0032517	CG7099
FBgn0069973	CG40485
FBgn0030437	hec
FBgn0041723	rho-5
FBgn0029859	CG15892
FBgn0083228	Frq2
FBgn0037908	dpr5
FBgn0039850	CG11333
FBgn0034218	CG18467
FBgn0034030	CG8192
FBgn0029750	CG3323
FBgn0041174	Vhl
FBgn0004396	CrebA
FBgn0266445	CG45075
FBgn0003285	rst
FBgn0042711	Hex-t1
FBgn0051005	qless
FBgn0260746	Ect3
FBgn0004901	Prat
FBgn0030018	slpr
FBgn0040752	Prosap
FBgn0025830	IntS8
FBgn0028668	Vha16-2
FBgn0039612	Nepl19
FBgn0033422	Or45b
FBgn0015513	mbc
FBgn0039846	PNPase
FBgn0266723	Trs31
FBgn0016930	Dyrk2
FBgn0002564	Lsp1gamma
FBgn0037020	Pex14
FBgn0035880	Culd
FBgn0038342	B9d1
FBgn0050361	mtt
FBgn0034046	tun
FBgn0034570	CG10543
FBgn0038309	Amt
FBgn0039809	CG15547
FBgn0030686	mRpL3
FBgn0052296	Mrtf
FBgn0003093	Pkc98E
FBgn0052677	X11Lbeta
FBgn0041582	tamo
FBgn0034614	CG9752
FBgn0023520	CG3857
FBgn0259244	CG42342
FBgn0040260	Ugt37D1
FBgn0029685	CG2938
FBgn0032451	spict
FBgn0037552	CG7800
FBgn0035630	CG10576
FBgn0037992	CG4702
FBgn0261004	asl
FBgn0004049	yrt
FBgn0031771	ND-51
FBgn0032530	CG9263
FBgn0050089	CG30089
FBgn0037342	CG2931
FBgn0005322	nmd
FBgn0040281	Aplip1
FBgn0031621	Elba3
FBgn0039795	Spn100A
FBgn0033352	PAN2
FBgn0036752	Adgf-A
FBgn0037130	Syn1
FBgn0025558	CG4101
FBgn0032503	CG16825
FBgn0051677	CG31677
FBgn0021795	Tapdelta
FBgn0035479	CG14983
FBgn0004463	Polr3B
FBgn0031815	frj
FBgn0083977	CG34141
FBgn0020412	JIL-1
FBgn0037761	CG8534
FBgn0086347	Myo31DF
FBgn0039789	CG9717
FBgn0034049	bdg
FBgn0031873	Gas41
FBgn0038542	TyrR
FBgn0031195	CG17600
FBgn0030890	CG7536
FBgn0038927	CG6015
FBgn0266538	CG45099
FBgn0050046	CG30046
FBgn0038210	CG3199
FBgn0010926	l(3)07882
FBgn0052811	CG32811
FBgn0034573	Sou
FBgn0036767	CG16775
FBgn0262716	Arp3
FBgn0039265	CG11790
FBgn0037416	Osi9
FBgn0037340	CG14671
FBgn0029768	SPR
FBgn0023178	Pdf
FBgn0000826	png
FBgn0036707	CG13724
FBgn0032147	IP3K1
FBgn0000053	Gart
FBgn0052406	PVRAP
FBgn0023545	PIG-K
FBgn0002719	Men
FBgn0031885	Mnn1
FBgn0259163	CG42268
FBgn0045469	Gr93c
FBgn0052488	CG32488
FBgn0015577	alpha-Est9
FBgn0029831	CG5966
FBgn0034249	RhoGAP54D
FBgn0051231	CG31231
FBgn0032749	Phlpp
FBgn0034506	CG13870
FBgn0038638	CG7702
FBgn0034734	CG4554
FBgn0003656	sws
FBgn0266758	Esyt2
FBgn0034267	CG4984
FBgn0038218	CG14841
FBgn0034707	MED16
FBgn0036380	CG8757
FBgn0033363	CG13744
FBgn0036735	Edc3
FBgn0016013	Faa
FBgn0264494	CG17646
FBgn0031644	CG15625
FBgn0250791	alphaSnap
FBgn0039856	CG1774
FBgn0035741	BBS1
FBgn0036428	Gbs-70E
FBgn0260932	cuff
FBgn0086757	cbs
FBgn0038432	CG14883
FBgn0031161	CG15445
FBgn0031104	jb
FBgn0037078	CG12971
FBgn0037783	Npc2c
FBgn0260997	CG42598
FBgn0037106	CG11307
FBgn0032200	CG5676
FBgn0264449	CG43867
FBgn0033203	CG2070
FBgn0262955	Polr2B
FBgn0052259	CG32259
FBgn0033844	bbc
FBgn0022238	lolal
FBgn0036440	CG17177
FBgn0032111	CG13110
FBgn0265048	cv-d
FBgn0261953	TfAP-2
FBgn0033971	CG10209
FBgn0052736	CG32736
FBgn0259204	CG42308
FBgn0038965	mats
FBgn0037283	CG14658
FBgn0028562	sut2
FBgn0038878	CG3301
FBgn0033777	CG17574
FBgn0051278	CG31278
FBgn0039126	CG13601
FBgn0034392	MFS15
FBgn0004052	Z600
FBgn0022800	Cad96Ca
FBgn0031048	CG12237
FBgn0051774	fred
FBgn0032154	mtDNA-helicase
FBgn0051097	CG31097
FBgn0034310	Nup75
FBgn0050036	CG30036
FBgn0037232	Suv3
FBgn0033179	p47
FBgn0032261	CG6094
FBgn0260936	scny
FBgn0034452	Oseg6
FBgn0035815	Snmp2
FBgn0050184	CG30184
FBgn0032974	CG3651
FBgn0028567	robl62A
FBgn0030528	CG11095
FBgn0038476	kuk
FBgn0263980	Stacl
FBgn0001197	His2Av
FBgn0033792	CG13325
FBgn0261555	CG42673
FBgn0015359	CG2034
FBgn0035137	CG1233
FBgn0032236	mRpS7
FBgn0263006	SERCA
FBgn0038404	CG8925
FBgn0034998	CG13577
FBgn0025712	CG13920
FBgn0051119	HDAC11
FBgn0029828	CG6067
FBgn0036581	MED10
FBgn0037491	CG1227
FBgn0036781	CG13699
FBgn0260658	CG42541
FBgn0037021	Pcif1
FBgn0039214	puf
FBgn0031987	CG12375
FBgn0005677	dac
FBgn0037638	CG8379
FBgn0027490	D12
FBgn0033584	CG7737
FBgn0264895	RapGAP1
FBgn0000157	Dll
FBgn0033683	CG18343
FBgn0029006	Smurf
FBgn0039089	beat-IV
FBgn0038488	m-cup
FBgn0030055	Rubicon
FBgn0029643	CG14420
FBgn0034196	CG15605
FBgn0035166	JMJD5
FBgn0037657	hyx
FBgn0037736	side-VII
FBgn0265423	lncRNA:CR44335
FBgn0043799	CG31381
FBgn0040623	Spase12
FBgn0032775	CG17544
FBgn0261068	LSm7
FBgn0033915	Snrk
FBgn0030817	CG4991
FBgn0015376	cutlet
FBgn0261266	zuc
FBgn0035151	CG17129
FBgn0024277	trio
FBgn0037347	SecS
FBgn0263757	Polr2D
FBgn0000109	Aprt
FBgn0033784	SCCRO3
FBgn0032894	CG14402
FBgn0030746	CG9981
FBgn0033866	CG6280
FBgn0038454	CG10324
FBgn0034647	pirk
FBgn0001255	ImpE3
FBgn0259175	ome
FBgn0038203	Or88a
FBgn0259483	Mob4
FBgn0038862	Usp8
FBgn0034518	CG13430
FBgn0036915	Prp3
FBgn0032979	Clamp
FBgn0026666	MagR
FBgn0052702	Cubn
FBgn0027558	Pgant3
FBgn0040290	RecQ4
FBgn0035521	VhaM9.7-a
FBgn0030040	CG15347
FBgn0027107	Inx6
FBgn0036741	anchor
FBgn0034382	CG18609
FBgn0036454	CG17839
FBgn0027561	CG18659
FBgn0085479	CG34450
FBgn0005631	robo1
FBgn0085386	CG34357
FBgn0038839	Ktl
FBgn0038763	PIG-L
FBgn0264908	pHCl-1
FBgn0035577	CG13708
FBgn0039808	CG12071
FBgn0285971	prg
FBgn0265605	Ric
FBgn0266762	CR45227
FBgn0033582	CG9084
FBgn0004177	mts
FBgn0015391	glu
FBgn0031955	CG14535
FBgn0036366	JMJD7
FBgn0285955	cv-c
FBgn0036575	CG5157
FBgn0000163	baz
FBgn0004569	aos
FBgn0032512	Bdp1
FBgn0284246	l(2)k09848
FBgn0037647	RagA-B
FBgn0052087	CG32087
FBgn0029783	Sirt4
FBgn0263030	CG43325
FBgn0027083	MetRS-m
FBgn0025455	CycT
FBgn0067311	CheB38b
FBgn0024326	Mkk4
FBgn0032363	Dlg5
FBgn0052673	Rab9E
FBgn0000422	Ddc
FBgn0002036	CG10561
FBgn0030801	Polr3I
FBgn0039301	Nup37
FBgn0030162	CG1986
FBgn0020269	mspo
FBgn0259707	CG42361
FBgn0050096	CG30096
FBgn0039329	CG10669
FBgn0011660	Pms2
FBgn0037764	CG9459
FBgn0262613	CG43139
FBgn0004227	nonA
FBgn0262020	CG42831
FBgn0041248	Gr23a
FBgn0031834	CG13766
FBgn0283473	S6KL
FBgn0026080	Tip60
FBgn0029712	CG15912
FBgn0085423	GramD1B
FBgn0038260	CG14855
FBgn0265630	sno
FBgn0052944	CG32944
FBgn0086558	Ubi-p5E
FBgn0026313	X11L
FBgn0260401	MED9
FBgn0036816	Indy
FBgn0001222	Hsf
FBgn0010762	simj
FBgn0035262	CG18171
FBgn0032221	Schip1
FBgn0040366	CG11398
FBgn0020416	Idgf1
FBgn0032698	CG10336
FBgn0039223	CG5805
FBgn0054045	CG34045
FBgn0039705	Atg16
FBgn0034939	thoc5
FBgn0038311	CG14864
FBgn0283545	vilya
FBgn0037042	CG12984
FBgn0051102	CG31102
FBgn0029506	Tsp42Ee
FBgn0001994	crp
FBgn0040958	Peritrophin-15b
FBgn0030847	CG12991
FBgn0035196	Bfc
FBgn0082598	akirin
FBgn0002023	Lim3
FBgn0040928	CR15345
FBgn0036470	EAChm
FBgn0037792	TAF1B
FBgn0032419	CG17217
FBgn0031473	CG3104
FBgn0035679	CG10467
FBgn0033500	Csgalnact
FBgn0038766	CG4854
FBgn0052062	Rbfox1
FBgn0023495	Lip3
FBgn0264540	CG43919
FBgn0051032	CR31032
FBgn0037489	CG1234
FBgn0039129	RpS19b
FBgn0286786	hoip
FBgn0263116	5-HT1B
